,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
1336,3136,Aqua Security,Tel Aviv,Israel,Asia,24,2020-04-01,9.0,267,243,Security,Series C,$100,2020,32.08088,34.78057,100.0
1337,3137,Crayon,Boston,USA,North America,20,2020-04-01,20.0,100,80,Marketing,Series A,$16,2020,42.35843,-71.05977,16.0
1338,3139,Sensibill,Toronto,Canada,North America,17,2020-04-01,20.0,85,68,Finance,Series B,$50,2020,43.70643,-79.39864,50.0
1339,3140,Usermind,Seattle,USA,North America,15,2020-04-01,25.0,60,45,Marketing,Series C,$46,2020,47.60621,-122.33207,46.0
1340,3141,Incredible Health,San Francisco Bay Area,USA,North America,9,2020-04-01,40.0,23,14,Healthcare,Series A,$15,2020,37.77493,-122.41942,15.0
1341,3148,KeepTruckin,San Francisco Bay Area,USA,North America,349,2020-03-31,18.0,1939,1590,Logistics,Series D,$227,2020,37.77493,-122.41942,227.0
1342,3149,AdRoll,Salt Lake City,USA,North America,210,2020-03-31,30.0,700,490,Marketing,Series C,$89,2020,40.76078,-111.89105,89.0
1343,3150,Rover,Seattle,USA,North America,194,2020-03-31,41.0,473,279,Consumer,Series G,$310,2020,47.60621,-122.33207,310.0
1344,3151,Turo,San Francisco Bay Area,USA,North America,108,2020-03-31,30.0,360,252,Transportation,Series E,$467,2020,37.77493,-122.41942,467.0
1345,3152,uShip,Austin,USA,North America,65,2020-03-31,37.0,176,111,Logistics,Series D,$69,2020,30.26715,-97.74306,69.0
1346,3156,Zenoti,Seattle,USA,North America,17,2020-03-31,4.0,425,408,Fitness,Series C,$91,2020,47.60621,-122.33207,91.0
1347,3157,DialSource,Sacramento,USA,North America,5,2020-03-31,14.0,36,31,Marketing,Series B,$26,2020,38.58157,-121.4944,26.0
1348,3164,Thumbtack,San Francisco Bay Area,USA,North America,250,2020-03-30,30.0,833,583,Consumer,Series F,$423,2020,37.77493,-122.41942,423.0
1349,3165,RigUp,Austin,USA,North America,120,2020-03-30,25.0,480,360,Energy,Series D,$423,2020,30.26715,-97.74306,423.0
1350,3166,FabHotels,New Delhi,India,Asia,80,2020-03-30,20.0,400,320,Travel,Series B,$48,2020,28.65195,77.23149,48.0
1351,3167,Hibob,Tel Aviv,Israel,Asia,70,2020-03-30,30.0,233,163,HR,Series A,$45,2020,32.08088,34.78057,45.0
1352,3168,PeerStreet,Los Angeles,USA,North America,51,2020-03-30,30.0,170,119,Finance,Series C,$110,2020,34.05223,-118.24368,110.0
1353,3169,Maven,Seattle,USA,North America,31,2020-03-30,9.0,344,313,Media,Post-IPO,$77,2020,47.60621,-122.33207,77.0
1354,3173,Loftsmart,New York City,USA,North America,25,2020-03-30,75.0,33,8,Real Estate,Series A,$18,2020,40.71427,-74.00597,18.0
1355,3175,Iris Nova,New York City,USA,North America,9,2020-03-30,50.0,18,9,Food,Seed,$15,2020,40.71427,-74.00597,15.0
1356,3177,ZipRecruiter,Los Angeles,USA,North America,400,2020-03-29,39.0,1026,626,Recruiting,Series B,$219,2020,34.05223,-118.24368,219.0
1357,3178,Amplero,Seattle,USA,North America,17,2020-03-29,100.0,17,0,Marketing,Series B,$25,2020,47.60621,-122.33207,25.0
1358,3180,TravelTriangle,Gurugram,India,Asia,250,2020-03-28,50.0,500,250,Travel,Series D,$47,2020,28.4601,77.02635,47.0
1359,3183,OneWeb,London,United Kingdom,Europe,451,2020-03-27,85.0,531,80,Aerospace,Unknown,3000,2020,51.50853,-0.12574,0.0
1360,3184,Bird,Los Angeles,USA,North America,406,2020-03-27,30.0,1353,947,Transportation,Series D,$623,2020,34.05223,-118.24368,623.0
1361,3185,HOOQ,Singapore,Singapore,Asia,250,2020-03-27,100.0,250,0,Consumer,Unknown,$95,2020,1.28967,103.85007,95.0
1362,3187,DataRobot,Boston,USA,North America,200,2020-03-27,16.66666666666667,1200,1000,Data,Series E,$430,2020,42.35843,-71.05977,430.0
1363,3189,Blueground,New York City,USA,North America,130,2020-03-27,25.0,520,390,Real Estate,Series B,$77,2020,40.71427,-74.00597,77.0
1364,3190,Knotel,New York City,USA,North America,127,2020-03-27,30.0,423,296,Real Estate,Series C,$560,2020,40.71427,-74.00597,560.0
1365,3191,Getaround,San Francisco Bay Area,USA,North America,100,2020-03-27,25.0,400,300,Transportation,Series D,$403,2020,37.77493,-122.41942,403.0
1366,3192,Zipcar,Boston,USA,North America,100,2020-03-27,20.0,500,400,Transportation,Acquired,$107,2020,42.35843,-71.05977,107.0
1367,3193,Mogo,Vancouver,Canada,North America,78,2020-03-27,30.0,260,182,Finance,Post-IPO,$201,2020,49.24966,-123.11934,201.0
1368,3196,Bench,Vancouver,Canada,North America,47,2020-03-27,10.0,470,423,Finance,Series B,$49,2020,49.24966,-123.11934,49.0
1369,3199,Bevi,Boston,USA,North America,30,2020-03-27,20.0,150,120,Food,Series C,$60,2020,42.35843,-71.05977,60.0
1370,3200,Textio,Seattle,USA,North America,30,2020-03-27,20.0,150,120,Recruiting,Unknown,$41,2020,47.60621,-122.33207,41.0
1371,3206,B8ta,San Francisco Bay Area,USA,North America,250,2020-03-26,50.0,500,250,Retail,Series C,$88,2020,37.77493,-122.41942,88.0
1372,3208,Puppet,Portland,USA,North America,50,2020-03-26,10.0,500,450,Infrastructure,Series F,$149,2020,45.52345,-122.67621,149.0
1373,3209,Ecobee,Toronto,Canada,North America,47,2020-03-26,10.0,470,423,Energy,Series C,$149,2020,43.70643,-79.39864,149.0
1374,3211,Peerspace,San Francisco Bay Area,USA,North America,41,2020-03-26,75.0,55,14,Real Estate,Series B,$34,2020,37.77493,-122.41942,34.0
1375,3212,GoSpotCheck,Denver,USA,North America,23,2020-03-26,20.0,115,92,Retail,Series B,$47,2020,39.73915,-104.9847,47.0
1376,3213,Consider.co,San Francisco Bay Area,USA,North America,13,2020-03-26,100.0,13,0,Other,Seed,$5,2020,37.77493,-122.41942,5.0
1377,3215,TripActions,San Francisco Bay Area,USA,North America,300,2020-03-25,25.0,1200,900,Travel,Series D,$981,2020,37.44188,-122.14302,981.0
1378,3219,WanderJaunt,San Francisco Bay Area,USA,North America,56,2020-03-25,23.0,243,187,Travel,Series B,$26,2020,37.77493,-122.41942,26.0
1379,3220,OutboundEngine,Austin,USA,North America,52,2020-03-25,28.0,186,134,Marketing,Series C,$48,2020,30.26715,-97.74306,48.0
1380,3221,Wonderschool,San Francisco Bay Area,USA,North America,50,2020-03-25,75.0,67,17,Education,Series A,$24,2020,37.77493,-122.41942,24.0
1381,3222,Overtime,New York City,USA,North America,30,2020-03-25,23.0,130,100,Media,Series B,$35,2020,40.71427,-74.00597,35.0
1382,3223,Jama,Portland,USA,North America,12,2020-03-25,5.0,240,228,Product,Unknown,$233,2020,45.52345,-122.67621,233.0
1383,3229,Sonder,San Francisco Bay Area,USA,North America,400,2020-03-24,33.0,1212,812,Travel,Series D,$359,2020,37.77493,-122.41942,359.0
1384,3231,Foodsby,Minneapolis,USA,North America,87,2020-03-24,67.0,130,43,Food,Series B,$20,2020,44.97997,-93.26384,20.0
1385,3232,Zeus Living,San Francisco Bay Area,USA,North America,80,2020-03-24,30.0,267,187,Real Estate,Series B,$79,2020,37.77493,-122.41942,79.0
1386,3237,Compass,New York City,USA,North America,375,2020-03-23,15.0,2500,2125,Real Estate,Series G,$1600,2020,40.71427,-74.00597,1600.0
1387,3238,Convene,New York City,USA,North America,150,2020-03-23,18.0,833,683,Real Estate,Series D,$280,2020,40.71427,-74.00597,280.0
1388,3239,Leafly,Seattle,USA,North America,91,2020-03-23,50.0,182,91,Retail,Acquired,$2,2020,47.60621,-122.33207,2.0
1389,3240,The Guild,Austin,USA,North America,38,2020-03-23,22.0,173,135,Travel,Series B,$36,2020,30.26715,-97.74306,36.0
1390,3242,GrayMeta,Los Angeles,USA,North America,20,2020-03-23,40.0,50,30,Data,Unknown,$7,2020,34.05223,-118.24368,7.0
1391,3243,Triplebyte,San Francisco Bay Area,USA,North America,15,2020-03-23,17.0,88,73,Recruiting,Series B,$48,2020,37.77493,-122.41942,48.0
1392,3244,Ladder Life,San Francisco Bay Area,USA,North America,13,2020-03-23,25.0,52,39,Finance,Series C,$94,2020,37.44188,-122.14302,94.0
1393,3248,Flywheel Sports,New York City,USA,North America,784,2020-03-20,98.0,800,16,Fitness,Acquired,$120,2020,40.71427,-74.00597,120.0
1394,3250,CTO.ai,Vancouver,Canada,North America,30,2020-03-20,50.0,60,30,Infrastructure,Seed,$7,2020,49.24966,-123.11934,7.0
1395,3256,Remote Year,Chicago,USA,North America,50,2020-03-19,50.0,100,50,Travel,Series B,$17,2020,41.85003,-87.65005,17.0
1396,3261,Flytedesk,Boulder,USA,North America,4,2020-03-18,20.0,20,16,Marketing,Seed,$4,2020,40.01499,-105.27055,4.0
1397,3262,Inspirato,Denver,USA,North America,130,2020-03-16,22.0,591,461,Travel,Series C,$79,2020,39.73915,-104.9847,79.0
1398,3263,Help.com,Austin,USA,North America,16,2020-03-16,100.0,16,0,Support,Seed,$6,2020,30.26715,-97.74306,6.0
1399,3265,HopSkipDrive,Los Angeles,USA,North America,8,2020-03-13,10.0,80,72,Transportation,Unknown,$45,2020,34.05223,-118.24368,45.0
1400,3266,Panda Squad,San Francisco Bay Area,USA,North America,6,2020-03-13,75.0,8,2,Consumer,Seed,$1,2020,37.77493,-122.41942,1.0
1401,3267,Tamara Mellon,Los Angeles,USA,North America,20,2020-03-12,40.0,50,30,Retail,Series C,$90,2020,34.05223,-118.24368,90.0
1402,3272,Discord,San Francisco Bay Area,USA,North America,170,2024-11-01,17.0,1000,830,Consumer,Series H,$995,2024,37.77493,-122.41942,995.0
1403,3273,Inmobi,Bengaluru,India,Asia,125,2024-11-01,5.0,2500,2375,Marketing,Unknown,$320,2024,12.97194,77.59369,320.0
1404,3274,Audible,New York City,USA,North America,100,2024-11-01,5.0,2000,1900,Media,Acquired,$14,2024,40.71427,-74.00597,14.0
1405,3275,Sisense,New York City,USA,North America,60,2024-11-01,13.0,462,402,Data,Series F,$274,2024,40.71427,-74.00597,274.0
1406,3277,Google,San Francisco Bay Area,USA,North America,1000,2024-10-01,0.5319148936170213,188000,187000,Consumer,Post-IPO,$26,2024,37.38605,-122.08385,26.0
1407,3279,Instagram,San Francisco Bay Area,USA,North America,60,2024-10-01,13.33333333333333,450,390,Consumer,Acquired,$57,2024,37.45383,-122.18219,57.0
1408,3281,Twitch,San Francisco Bay Area,USA,North America,500,2024-09-01,35.0,1429,929,Consumer,Acquired,$35,2024,37.77493,-122.41942,35.0
1409,3282,Nevro,San Francisco Bay Area,USA,North America,63,2024-09-01,5.0,1260,1197,Healthcare,Post-IPO,$556,2024,37.48522,-122.23635,556.0
1410,3283,Rent the Runway,New York City,USA,North America,37,2024-09-01,10.0,370,333,Retail,Post-IPO,$526,2024,40.71427,-74.00597,526.0
1411,3284,Humane,San Francisco Bay Area,USA,North America,10,2024-09-01,4.0,250,240,Hardware,Series C,$230,2024,37.77493,-122.41942,230.0
1412,3285,Unity,San Francisco Bay Area,USA,North America,1800,2024-08-01,25.0,7200,5400,Other,Post-IPO,$1300,2024,37.77493,-122.41942,1300.0
1413,3286,Pitch,Berlin,Germany,Europe,80,2024-08-01,67.0,119,39,Other,Series B,$138,2024,52.52437,13.41053,138.0
