,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
0,3,ShareChat,Bengaluru,India,Asia,200,2023-12-20,15.0,1333,1133,Consumer,Series H,$1700,2023,12.97194,77.59369,1700.0
1,4,InSightec,Haifa,Israel,Asia,100,2023-12-19,20.0,500,400,Healthcare,Unknown,$733,2023,32.81841,34.9885,733.0
2,6,Enphase Energy,San Francisco Bay Area,USA,North America,350,2023-12-18,10.0,3500,3150,Energy,Post-IPO,$116,2023,37.54827,-121.98857,116.0
3,7,Udaan,Bengaluru,India,Asia,100,2023-12-18,10.0,1000,900,Retail,Unknown,1500,2023,12.97194,77.59369,500.0
4,14,Cruise,San Francisco Bay Area,USA,North America,900,2023-12-14,24.0,3750,2850,Transportation,Acquired,$15000,2023,37.77493,-122.41942,15000.0
5,16,Bolt,San Francisco Bay Area,USA,North America,130,2023-12-14,29.0,450,320,Finance,Series E,$1300,2023,37.77493,-122.41942,1300.0
6,20,Invitae,San Francisco Bay Area,USA,North America,235,2023-12-13,15.0,1567,1332,Healthcare,Post-IPO,2500,2023,37.77493,-122.41942,500.0
7,21,Etsy,New York City,USA,North America,225,2023-12-13,11.0,2045,1820,Retail,Post-IPO,$97,2023,40.71427,-74.00597,97.0
8,27,Chipper Cash,San Francisco Bay Area,USA,North America,15,2023-12-11,33.0,45,30,Finance,Series C,$302,2023,37.77493,-122.41942,302.0
9,31,Zulily,Seattle,USA,North America,839,2023-12-08,100.0,839,0,Retail,Acquired,$194,2023,47.60621,-122.33207,194.0
10,37,ZestMoney,Bengaluru,India,Asia,150,2023-12-05,100.0,150,0,Finance,Series C,$120,2023,12.97194,77.59369,120.0
11,38,Navan,San Francisco Bay Area,USA,North America,145,2023-12-05,5.0,2900,2755,Finance,Unknown,2200,2023,37.44188,-122.14302,200.0
12,39,Incredibuild,Tel Aviv,Israel,Asia,40,2023-12-05,20.0,200,160,Product,Series B,$35,2023,32.08088,34.78057,35.0
13,44,Spotify,Stockholm,Sweden,Europe,1500,2023-12-04,17.0,9200,7700,Media,Post-IPO,$2100,2023,59.32938,18.06871,2100.0
14,50,Loco,Mumbai,India,Asia,40,2023-11-30,36.0,111,71,Consumer,Acquired,$52,2023,19.07283,72.88261,52.0
15,51,Zepz,London,United Kingdom,Europe,30,2023-11-30,2.0,1500,1470,Finance,Series E,$700,2023,51.50853,-0.12574,700.0
16,56,Unity,San Francisco Bay Area,USA,North America,265,2023-11-28,4.0,6625,6360,Other,Post-IPO,$1300,2023,37.77493,-122.41942,1300.0
17,57,Dataminr,New York City,USA,North America,150,2023-11-28,20.0,750,600,AI,Series F,$1100,2023,40.71427,-74.00597,1100.0
18,62,Our Next Energy,Detroit,USA,North America,128,2023-11-27,25.0,512,384,Transportation,Series B,$390,2023,42.33143,-83.04575,390.0
19,70,Physics Wallah,Noida,India,Asia,120,2023-11-19,1.0,12000,11880,Education,Series A,$100,2023,8.49615,77.53601,100.0
20,91,TripAdvisor,Boston,USA,North America,125,2023-11-12,4.0,3125,3000,Travel,Post-IPO,$3,2023,42.35843,-71.05977,3.0
21,110,Viasat,San Diego,USA,North America,800,2023-11-02,10.0,8000,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472,366.0
22,111,Beyond Meat,Los Angeles,USA,North America,65,2023-11-02,8.0,813,748,Food,Post-IPO,$122,2023,34.05223,-118.24368,122.0
23,115,Splunk,San Francisco Bay Area,USA,North America,500,2023-11-01,7.0,7143,6643,Data,Post-IPO,$2400,2023,37.77493,-122.41942,2400.0
24,116,Faire,San Francisco Bay Area,USA,North America,250,2023-11-01,20.0,1250,1000,Retail,Series G,$1700,2023,37.77493,-122.41942,1700.0
25,117,Sana Benefits,Austin,USA,North America,73,2023-11-01,50.0,146,73,HR,Series B,$106,2023,30.26715,-97.74306,106.0
26,122,Hippo Insurance,San Francisco Bay Area,USA,North America,120,2023-10-26,20.0,600,480,Finance,Post-IPO,$1300,2023,37.44188,-122.14302,1300.0
27,130,SiFive,San Francisco Bay Area,USA,North America,130,2023-10-24,20.0,650,520,Hardware,Series F,$365,2023,37.35411,-121.95524,365.0
28,135,Nomad Health,New York City,USA,North America,119,2023-10-20,17.0,700,581,Healthcare,Unknown,$218,2023,40.71427,-74.00597,218.0
29,138,Convoy,Seattle,USA,North America,500,2023-10-19,100.0,500,0,Logistics,Series E,$1100,2023,47.60621,-122.33207,1100.0
30,139,Bullhorn,Boston,USA,North America,140,2023-10-19,9.0,1556,1416,Sales,Acquired,$32,2023,42.35843,-71.05977,32.0
31,141,StellarAlgo,Calgary,Canada,North America,21,2023-10-19,28.0,75,54,Data,Series A,$16,2023,51.05011,-114.08529,16.0
32,142,ManoMano,Paris,France,Europe,230,2023-10-18,25.0,920,690,Retail,Series F,$705,2023,48.85341,2.3488,705.0
33,144,WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35,2023-10-18,10.0,350,315,Other,Series A,$64,2023,52.37403,4.88969,64.0
34,151,LinkedIn,San Francisco Bay Area,USA,North America,660,2023-10-16,3.0,22000,21340,Recruiting,Acquired,$154,2023,37.36883,-122.03635,154.0
35,153,C2FO,Kansas City,USA,North America,80,2023-10-16,3.0,2667,2587,Finance,Series H,$537,2023,39.09973,-94.57857,537.0
36,162,Lending Club,San Francisco Bay Area,USA,North America,172,2023-10-12,14.0,1229,1057,Finance,Post-IPO,$392,2023,37.77493,-122.41942,392.0
37,163,MariaDB,San Francisco Bay Area,USA,North America,84,2023-10-12,28.0,300,216,Data,Post-IPO,$272,2023,37.48522,-122.23635,272.0
38,164,Deepgram,San Francisco Bay Area,USA,North America,20,2023-10-11,20.0,100,80,AI,Series B,$86,2023,37.77493,-122.41942,86.0
39,167,Carbon Health,San Francisco Bay Area,USA,North America,114,2023-10-09,5.0,2280,2166,Healthcare,Series D,$522,2023,37.77493,-122.41942,522.0
40,172,InvestCloud,Los Angeles,USA,North America,80,2023-10-06,5.0,1600,1520,Finance,Private Equity …,$54,2023,34.05223,-118.24368,54.0
41,179,SchoolMint,San Francisco Bay Area,USA,North America,29,2023-10-05,14.0,207,178,Education,Acquired,$8,2023,37.77493,-122.41942,8.0
42,181,Arrival,London,United Kingdom,Europe,200,2023-10-05,25.0,800,600,Transportation,Post-IPO,$629,2023,51.50853,-0.12574,629.0
43,183,Qualtrics,Salt Lake City,USA,North America,780,2023-10-04,14.0,5571,4791,Other,Post-IPO,$400,2023,40.76078,-111.89105,400.0
44,184,Hopper,Montreal,Canada,North America,250,2023-10-04,30.0,833,583,Travel,Unknown,$730,2023,45.50884,-73.58781,730.0
45,191,Chainalysis,New York City,USA,North America,150,2023-10-02,15.0,1000,850,Crypto,Series F,$536,2023,40.71427,-74.00597,536.0
46,192,Synapse,San Francisco Bay Area,USA,North America,86,2023-10-02,40.0,215,129,Finance,Series B,$50,2023,37.77493,-122.41942,50.0
47,193,Chia Network,San Francisco Bay Area,USA,North America,26,2023-10-02,37.0,70,44,Crypto,Series D,$70,2023,37.77493,-122.41942,70.0
48,196,Cowbell,San Francisco Bay Area,USA,North America,28,2023-09-29,12.0,233,205,Finance,Series B,$123,2023,37.66243,-121.87468,123.0
49,200,Epic Games,Raleigh,USA,North America,870,2023-09-28,16.0,5438,4568,Consumer,Unknown,6400,2023,35.7721,-78.63861,400.0
50,205,Fi.Money,Bengaluru,India,Asia,30,2023-09-27,10.0,300,270,Finance,Series C,$137,2023,12.97194,77.59369,137.0
51,206,Dunzo,Bengaluru,India,Asia,150,2023-09-26,30.0,500,350,Food,Unknown,$458,2023,12.97194,77.59369,458.0
52,207,Flexe,Seattle,USA,North America,131,2023-09-26,33.0,397,266,Logistics,Series D,$263,2023,47.60621,-122.33207,263.0
53,209,Lucid Software,Salt Lake City,USA,North America,75,2023-09-25,7.0,1071,996,Other,Series E,$170,2023,40.76078,-111.89105,170.0
54,225,7shifts,Saskatoon,Canada,North America,30,2023-09-15,7.0,429,399,Food,Series C,$131,2023,52.13238,-106.66892,131.0
55,227,Airtable,San Francisco Bay Area,USA,North America,237,2023-09-14,27.0,878,641,Product,Series F,$1400,2023,37.77493,-122.41942,1400.0
56,229,VideoAmp,Los Angeles,USA,North America,40,2023-09-14,10.0,400,360,Marketing,Series F,$456,2023,34.05223,-118.24368,456.0
57,233,Evolve,Denver,USA,North America,175,2023-09-12,20.0,875,700,Travel,Series F,$224,2023,39.73915,-104.9847,224.0
58,235,Paper,Montreal,Canada,North America,87,2023-09-12,3.0,2900,2813,Education,Series D,$389,2023,45.50884,-73.58781,389.0
59,236,Homeday,Berlin,Germany,Europe,40,2023-09-12,20.0,200,160,Real Estate,Unknown,$71,2023,52.52437,13.41053,71.0
60,237,At-Bay,San Francisco Bay Area,USA,North America,27,2023-09-12,9.0,300,273,Security,Unknown,$296,2023,37.77493,-122.41942,296.0
61,239,Chargebee,San Francisco Bay Area,USA,North America,100,2023-09-11,10.0,1000,900,Finance,Series H,$468,2023,37.77493,-122.41942,468.0
62,241,Grabango,San Francisco Bay Area,USA,North America,34,2023-09-11,40.0,85,51,Food,Unknown,$94,2023,37.87159,-122.27275,94.0
63,247,Drift,Boston,USA,North America,100,2023-09-07,25.0,400,300,Marketing,Acquired,$107,2023,42.35843,-71.05977,107.0
64,249,Roku,San Francisco Bay Area,USA,North America,360,2023-09-06,10.0,3600,3240,Media,Post-IPO,$208,2023,37.33939,-121.89496,208.0
65,255,Absci,Portland,USA,North America,30,2023-09-05,15.0,200,170,Healthcare,Post-IPO,$238,2023,45.52345,-122.67621,238.0
66,256,Hodinkee,New York City,USA,North America,24,2023-09-05,20.0,120,96,Retail,Seed,$40,2023,40.71427,-74.00597,40.0
67,260,Nexar,New York City,USA,North America,17,2023-09-04,14.0,121,104,Transportation,Series D,$149,2023,40.71427,-74.00597,149.0
68,270,Omuni,Bengaluru,India,Asia,60,2023-08-30,35.0,171,111,Retail,Acquired,$10,2023,12.97194,77.59369,10.0
69,271,Kenko Health,Mumbai,India,Asia,50,2023-08-30,20.0,250,200,Healthcare,Series A,$14,2023,19.07283,72.88261,14.0
70,272,Huma,London,United Kingdom,Europe,45,2023-08-30,10.0,450,405,Healthcare,Unknown,$217,2023,51.50853,-0.12574,217.0
71,273,Zeplin,San Francisco Bay Area,USA,North America,37,2023-08-30,35.0,106,69,Product,Seed,$1,2023,37.77493,-122.41942,1.0
72,274,Kenko Health,Mumbai,India,Asia,50,2023-08-29,20.0,250,200,Healthcare,Unknown,$14,2023,19.07283,72.88261,14.0
73,276,Zebra Technologies,Chicago,USA,North America,700,2023-08-28,7.0,10000,9300,Manufacturing,Post-IPO,2000,2023,41.85003,-87.65005,0.0
74,283,Captiv8,San Francisco Bay Area,USA,North America,8,2023-08-24,3.0,267,259,Marketing,Unknown,$4,2023,37.56299,-122.32553,4.0
75,285,Atlas,Chicago,USA,North America,150,2023-08-23,30.0,500,350,HR,Series B,$220,2023,41.85003,-87.65005,220.0
76,286,Veriff,Tallinn,Estonia,Europe,101,2023-08-23,21.0,481,380,Security,Series C,$192,2023,59.43696,24.75353,192.0
77,287,BlackLine,Los Angeles,USA,North America,95,2023-08-23,5.0,1900,1805,Finance,Post-IPO,$220,2023,34.05223,-118.24368,220.0
78,291,Getir,London,United Kingdom,Europe,2500,2023-08-22,11.0,22727,20227,Food,Series E,$1800,2023,51.50853,-0.12574,1800.0
79,298,Twiga,Nairobi,Kenya,Africa,283,2023-08-20,33.0,858,575,Food,Series C,$157,2023,-1.28333,36.81667,157.0
80,305,AppFolio,Santa Barbara,USA,North America,149,2023-08-17,9.0,1656,1507,Real Estate,Post-IPO,$30,2023,34.42083,-119.69819,30.0
81,307,StreamElements,Tel Aviv,Israel,Asia,60,2023-08-17,35.0,171,111,Media,Series B,$111,2023,32.08088,34.78057,111.0
82,311,SecureWorks,Atlanta,USA,North America,300,2023-08-14,15.0,2000,1700,Security,Post-IPO,$83,2023,33.749,-84.38798,83.0
83,320,Blend,San Francisco Bay Area,USA,North America,150,2023-08-09,19.0,789,639,Finance,Post-IPO,$665,2023,37.77493,-122.41942,665.0
84,323,Dealtale,Tel Aviv,Israel,Asia,70,2023-08-09,100.0,70,0,Sales,Acquired,$2,2023,32.08088,34.78057,2.0
85,328,Thoughtworks,Chicago,USA,North America,579,2023-08-08,5.0,11580,11001,Other,Post-IPO,$748,2023,41.85003,-87.65005,748.0
86,329,Rapid7,Boston,USA,North America,470,2023-08-08,18.0,2611,2141,Security,Post-IPO,$89,2023,42.35843,-71.05977,89.0
87,331,Doximity,San Francisco Bay Area,USA,North America,100,2023-08-08,10.0,1000,900,Healthcare,Post-IPO,$82,2023,37.77493,-122.41942,82.0
88,332,23andMe,San Francisco Bay Area,USA,North America,71,2023-08-08,11.0,645,574,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942,1100.0
89,339,Top Hat,Toronto,Canada,North America,42,2023-08-04,7.0,600,558,Education,Series E,$234,2023,43.70643,-79.39864,234.0
90,342,Discord,San Francisco Bay Area,USA,North America,37,2023-08-03,4.0,925,888,Consumer,Series H,$995,2023,37.77493,-122.41942,995.0
91,347,Spinny,Gurugram,India,Asia,300,2023-08-02,5.0,6000,5700,Transportation,Series E,$513,2023,28.4601,77.02635,513.0
92,348,Tekion,Bengaluru,India,Asia,300,2023-08-02,10.0,3000,2700,Other,Series D,$435,2023,12.97194,77.59369,435.0
93,349,BetterUp,San Francisco Bay Area,USA,North America,100,2023-08-02,16.0,625,525,HR,Series E,$567,2023,37.77493,-122.41942,567.0
94,350,Augury,New York City,USA,North America,70,2023-08-02,18.0,389,319,Manufacturing,Series E,$274,2023,40.71427,-74.00597,274.0
95,352,Gupy,Sao Paulo,Brazil,South America,58,2023-08-02,8.0,725,667,HR,Series B,$105,2023,-23.5475,-46.63611,105.0
96,361,Vesttoo,Tel Aviv,Israel,Asia,150,2023-08-01,75.0,200,50,Finance,Series C,$110,2023,32.08088,34.78057,110.0
97,362,Planet,San Francisco Bay Area,USA,North America,117,2023-08-01,10.0,1170,1053,Aerospace,Post-IPO,$574,2023,37.77493,-122.41942,574.0
98,363,Paper,Montreal,Canada,North America,106,2023-08-01,4.0,2650,2544,Education,Series D,$389,2023,45.50884,-73.58781,389.0
99,364,Archipelago,San Francisco Bay Area,USA,North America,40,2023-08-01,30.0,133,93,Real Estate,Series B,$57,2023,37.77493,-122.41942,57.0
100,370,Fable,Toronto,Canada,North America,13,2023-07-31,9.0,144,131,Other,Series A,$12,2023,43.70643,-79.39864,12.0
101,373,Kape Technologies,London,United Kingdom,Europe,200,2023-07-30,30.0,667,467,Security,Post-IPO,$188,2023,51.50853,-0.12574,188.0
102,374,Eroad,Auckland,New Zealand,Australia,200,2023-07-28,31.0,645,445,Transportation,Unknown,$46,2023,-36.84853,174.76349,46.0
103,377,Milkbasket,Gurugram,India,Asia,400,2023-07-27,67.0,597,197,Food,Acquired,$39,2023,28.4601,77.02635,39.0
104,378,Wish,San Francisco Bay Area,USA,North America,255,2023-07-27,34.0,750,495,Retail,Post-IPO,$1600,2023,37.77493,-122.41942,1600.0
105,379,Point,San Francisco Bay Area,USA,North America,61,2023-07-27,28.0,218,157,Real Estate,Series C,$149,2023,37.77493,-122.41942,149.0
106,381,Verbit,New York City,USA,North America,60,2023-07-27,6.0,1000,940,Data,Series E,$569,2023,40.71427,-74.00597,569.0
107,384,Copia,Nairobi,Kenya,Africa,350,2023-07-26,25.0,1400,1050,Retail,Series C,$103,2023,-1.28333,36.81667,103.0
108,385,Figure,San Francisco Bay Area,USA,North America,90,2023-07-26,20.0,450,360,Crypto,Unknown,$1500,2023,37.77493,-122.41942,1500.0
109,386,Calendly,Atlanta,USA,North America,60,2023-07-26,10.0,600,540,Other,Series B,$351,2023,33.749,-84.38798,351.0
110,389,Deep Instict,New York City,USA,North America,46,2023-07-25,15.0,307,261,Security,Unknown,$322,2023,40.71427,-74.00597,322.0
111,402,AgentSync,Denver,USA,North America,67,2023-07-19,24.0,279,212,Finance,Series B,$111,2023,39.73915,-104.9847,111.0
112,403,Inspirato,Denver,USA,North America,50,2023-07-19,6.0,833,783,Travel,Post-IPO,$179,2023,39.73915,-104.9847,179.0
113,404,Tilia,San Francisco Bay Area,USA,North America,28,2023-07-19,32.0,88,60,Finance,Unknown,$32,2023,37.77493,-122.41942,32.0
114,409,Sarcos,Salt Lake City,USA,North America,75,2023-07-17,25.0,300,225,Aerospace,Post-IPO,$316,2023,40.76078,-111.89105,316.0
115,415,PayScale,Seattle,USA,North America,14,2023-07-14,2.0,700,686,HR,Acquired,$33,2023,47.60621,-122.33207,33.0
116,419,AudioCodes,Tel Aviv,Israel,Asia,80,2023-07-13,6.0,1333,1253,Other,Post-IPO,$91,2023,32.08088,34.78057,91.0
117,422,Deepwatch,Tampa Bay,USA,North America,30,2023-07-13,7.0,429,399,Security,Series C,$256,2023,27.94752,-82.45843,256.0
118,432,DeepVerge,Dublin,Ireland,Europe,50,2023-07-12,100.0,50,0,Healthcare,Post-IPO,$20,2023,53.33306,-6.24889,20.0
119,433,Freightos,Miami,USA,North America,50,2023-07-12,13.0,385,335,Logistics,Post-IPO,$118,2023,25.77427,-80.19366,118.0
120,438,WayCool,Chennai,India,Asia,300,2023-07-11,12.0,2500,2200,Food,Unknown,$363,2023,13.08784,80.27847,363.0
121,439,Matterport,San Francisco Bay Area,USA,North America,170,2023-07-11,30.0,567,397,Data,Post-IPO,$409,2023,37.36883,-122.03635,409.0
122,441,Sisense,New York City,USA,North America,100,2023-07-11,15.0,667,567,Data,Series F,$274,2023,40.71427,-74.00597,274.0
123,447,FrontRow,Bengaluru,India,Asia,4,2023-07-10,100.0,4,0,Education,Series A,$17,2023,12.97194,77.59369,17.0
124,456,FNZ,London,United Kingdom,Europe,1000,2023-07-06,15.0,6667,5667,Finance,Private Equity …,1400,2023,51.50853,-0.12574,400.0
125,457,Perfect Day,San Francisco Bay Area,USA,North America,134,2023-07-06,15.0,893,759,Food,Series D,$711,2023,37.87159,-122.27275,711.0
126,459,TytoCare,New York City,USA,North America,20,2023-07-06,10.0,200,180,Healthcare,Series D,$156,2023,40.71427,-74.00597,156.0
127,466,Highsnobiety,Berlin,Germany,Europe,24,2023-07-03,10.0,240,216,Media,Acquired,$8,2023,52.52437,13.41053,8.0
128,467,Zip,Sydney,Australia,Australia,300,2023-07-02,20.0,1500,1200,Finance,Post-IPO,$896,2023,-33.86785,151.20732,896.0
129,473,Headspace,Los Angeles,USA,North America,181,2023-06-29,15.0,1207,1026,Healthcare,Unknown,$216,2023,34.05223,-118.24368,216.0
130,474,Artsy,New York City,USA,North America,35,2023-06-29,15.0,233,198,Retail,Series D,$100,2023,40.71427,-74.00597,100.0
131,477,Torii,Ra'anana,Israel,Asia,28,2023-06-29,30.0,93,65,Other,Series B,$65,2023,32.1836,34.87386,65.0
132,483,ClickUp,San Diego,USA,North America,90,2023-06-28,10.0,900,810,Other,Series C,$537,2023,32.71571,-117.16472,537.0
133,486,Plex,San Francisco Bay Area,USA,North America,37,2023-06-28,20.0,185,148,Media,Unknown,$81,2023,37.38605,-122.08385,81.0
134,490,New Relic,San Francisco Bay Area,USA,North America,255,2023-06-27,10.0,2550,2295,Infrastructure,Post-IPO,$214,2023,37.77493,-122.41942,214.0
135,498,Robinhood,San Francisco Bay Area,USA,North America,150,2023-06-26,7.0,2143,1993,Finance,Post-IPO,$5600,2023,37.45383,-122.18219,5600.0
136,499,Convoy,Seattle,USA,North America,30,2023-06-26,5.0,600,570,Logistics,Series E,$1100,2023,47.60621,-122.33207,1100.0
137,504,Uber,San Francisco Bay Area,USA,North America,200,2023-06-21,0.9961647656522389,20077,19877,Transportation,Post-IPO,$25200,2023,37.77493,-122.41942,25200.0
138,506,Ritual,Toronto,Canada,North America,38,2023-06-21,40.0,95,57,Food,Series C,$134,2023,43.70643,-79.39864,134.0
139,510,Grab,Singapore,Singapore,Asia,1000,2023-06-20,11.0,9091,8091,Transportation,Post-IPO,$16500,2023,1.28967,103.85007,16500.0
140,514,Chingari,Bengaluru,India,Asia,48,2023-06-19,20.0,240,192,Media,Unknown,$88,2023,12.97194,77.59369,88.0
141,517,Mojocare,Bengaluru,India,Asia,170,2023-06-17,80.0,213,43,Healthcare,Series A,$24,2023,12.97194,77.59369,24.0
142,520,Pilot,San Francisco Bay Area,USA,North America,45,2023-06-16,13.0,346,301,Finance,Unknown,$116,2023,37.77493,-122.41942,116.0
143,523,CareRev,Los Angeles,USA,North America,100,2023-06-15,33.0,303,203,Healthcare,Series A,$51,2023,34.05223,-118.24368,51.0
144,527,FrontRow,Bengaluru,India,Asia,39,2023-06-15,90.0,43,4,Education,Series A,$17,2023,12.97194,77.59369,17.0
145,528,Bitwise,Fresno,USA,North America,900,2023-06-14,100.0,900,0,Crypto,Series B,$84,2023,36.74773,-119.77237,84.0
146,529,Sonos,New York City,USA,North America,130,2023-06-14,7.0,1857,1727,Consumer,Post-IPO,$455,2023,40.71427,-74.00597,455.0
147,530,TrueCar,Los Angeles,USA,North America,102,2023-06-14,24.0,425,323,Transportation,Post-IPO,$340,2023,34.05223,-118.24368,340.0
148,531,Olo,New York City,USA,North America,81,2023-06-14,11.0,736,655,Food,Post-IPO,$184,2023,40.71427,-74.00597,184.0
149,537,Grubhub,San Francisco Bay Area,USA,North America,400,2023-06-12,15.0,2667,2267,Food,Acquired,$284,2023,37.77493,-122.41942,284.0
150,538,GoCardless,London,United Kingdom,Europe,150,2023-06-12,17.0,882,732,Finance,Series G,$529,2023,51.50853,-0.12574,529.0
151,539,Pendo,Raleigh,USA,North America,100,2023-06-12,12.0,833,733,Product,Series F,$469,2023,35.7721,-78.63861,469.0
152,540,Chegg,San Francisco Bay Area,USA,North America,80,2023-06-12,4.0,2000,1920,Education,Post-IPO,$227,2023,37.35411,-121.95524,227.0
153,542,TaxBit,San Francisco Bay Area,USA,North America,80,2023-06-11,40.0,200,120,Crypto,Unknown,$253,2023,37.77493,-122.41942,253.0
154,544,Trybe,Sao Paulo,Brazil,South America,128,2023-06-09,35.0,366,238,Education,Series B,$40,2023,-23.5475,-46.63611,40.0
155,545,23andMe,San Francisco Bay Area,USA,North America,75,2023-06-09,9.0,833,758,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942,1100.0
156,546,Expel,Washington DC,USA,North America,60,2023-06-09,10.0,600,540,Security,Series E,$288,2023,38.89511,-77.03637,288.0
157,548,Cityblock Health,New York City,USA,North America,155,2023-06-08,12.0,1292,1137,Healthcare,Series D,$891,2023,40.71427,-74.00597,891.0
158,549,Highspot,Seattle,USA,North America,140,2023-06-08,15.0,933,793,Sales,Series F,$644,2023,47.60621,-122.33207,644.0
159,561,Edgio,Phoenix,USA,North America,134,2023-06-06,12.0,1117,983,Infrastructure,Post-IPO,$462,2023,33.44838,-112.07404,462.0
160,562,Reddit,San Francisco Bay Area,USA,North America,90,2023-06-06,5.0,1800,1710,Consumer,Series F,$1300,2023,37.77493,-122.41942,1300.0
161,563,Linktree,Melbourne,Australia,Australia,60,2023-06-06,27.0,222,162,Consumer,Unknown,$165,2023,-37.814,144.96332,165.0
162,564,Dragos,Baltimore,USA,North America,50,2023-06-06,9.0,556,506,Security,Series D,$364,2023,39.29038,-76.61219,364.0
163,568,Spotify,Stockholm,Sweden,Europe,200,2023-06-05,2.0,9400,9200,Media,Post-IPO,$2100,2023,59.32938,18.06871,2100.0
164,572,ZoomInfo,Vancouver,Canada,North America,120,2023-06-02,3.0,4000,3880,Sales,Post-IPO,$7,2023,49.24966,-123.11934,7.0
165,578,Outbrain,New York City,USA,North America,90,2023-06-01,10.0,900,810,Marketing,Post-IPO,$394,2023,40.71427,-74.00597,394.0
166,584,Zendesk,San Francisco Bay Area,USA,North America,320,2023-05-31,8.0,4000,3680,Support,Acquired,$85,2023,37.77493,-122.41942,85.0
167,585,ZipRecruiter,Los Angeles,USA,North America,270,2023-05-31,20.0,1350,1080,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368,769.0
168,586,Vendr,Boston,USA,North America,100,2023-05-31,25.0,400,300,Other,Series B,$216,2023,42.35843,-71.05977,216.0
169,588,Mux,San Francisco Bay Area,USA,North America,40,2023-05-31,30.0,133,93,Infrastructure,Series D,$173,2023,37.77493,-122.41942,173.0
170,589,Away,New York City,USA,North America,22,2023-05-31,8.0,275,253,Retail,Series D,$181,2023,40.71427,-74.00597,181.0
171,590,Taxfix,Berlin,Germany,Europe,120,2023-05-30,20.0,600,480,Finance,Series D,$330,2023,52.52437,13.41053,330.0
172,595,Evolve,Denver,USA,North America,164,2023-05-29,14.0,1171,1007,Travel,Series F,$224,2023,39.73915,-104.9847,224.0
173,596,Project44,Chicago,USA,North America,130,2023-05-26,10.0,1300,1170,Logistics,Unknown,$817,2023,41.85003,-87.65005,817.0
174,599,Airmeet,Bengaluru,India,Asia,75,2023-05-25,30.0,250,175,Marketing,Series B,$50,2023,12.97194,77.59369,50.0
175,602,Guild,Denver,USA,North America,172,2023-05-24,12.0,1433,1261,Education,Series F,$643,2023,39.73915,-104.9847,643.0
176,604,Flink,Berlin,Germany,Europe,100,2023-05-24,16.0,625,525,Food,Series B,$1000,2023,52.52437,13.41053,1000.0
177,605,Western Digital,Kfar Saba,Israel,Asia,60,2023-05-24,7.0,857,797,Hardware,Post-IPO,$900,2023,32.175,34.90694,900.0
178,618,Pie Insurance,Washington DC,USA,North America,63,2023-05-18,14.0,450,387,Finance,Series D,$621,2023,38.89511,-77.03637,621.0
179,624,Stash,New York City,USA,North America,40,2023-05-17,10.0,400,360,Finance,Unknown,$480,2023,40.71427,-74.00597,480.0
180,627,Zepz,London,United Kingdom,Europe,420,2023-05-16,26.0,1615,1195,Finance,Series E,$700,2023,51.50853,-0.12574,700.0
181,628,Lemonade,New York City,USA,North America,45,2023-05-16,3.0,1500,1455,Finance,Post-IPO,$481,2023,40.71427,-74.00597,481.0
182,632,Nuro,San Francisco Bay Area,USA,North America,340,2023-05-12,30.0,1133,793,Transportation,Series D,$2100,2023,37.38605,-122.08385,2100.0
183,634,Happay,Bengaluru,India,Asia,160,2023-05-12,35.0,457,297,Finance,Acquired,$21,2023,12.97194,77.59369,21.0
184,639,Cornershop,Santiago,Chile,South America,250,2023-05-11,11.0,2273,2023,Food,Acquired,$31,2023,-33.45694,-70.64827,31.0
185,643,Redbubble,Melbourne,Australia,Australia,70,2023-05-10,23.0,304,234,Retail,Post-IPO,$55,2023,-37.814,144.96332,55.0
186,644,Similarweb,New York City,USA,North America,60,2023-05-10,6.0,1000,940,Other,Post-IPO,$235,2023,40.71427,-74.00597,235.0
187,645,Stack Overflow,New York City,USA,North America,58,2023-05-10,10.0,580,522,Recruiting,Acquired,$153,2023,40.71427,-74.00597,153.0
188,646,Akamai,Boston,USA,North America,290,2023-05-09,3.0,9667,9377,Security,Post-IPO,$35,2023,42.35843,-71.05977,35.0
189,647,Sonatype,Baltimore,USA,North America,100,2023-05-09,14.0,714,614,Security,Acquired,$154,2023,39.29038,-76.61219,154.0
190,648,AudioCodes,Tel Aviv,Israel,Asia,80,2023-05-09,6.0,1333,1253,Other,Post-IPO,$91,2023,32.08088,34.78057,91.0
191,651,LinkedIn,San Francisco Bay Area,USA,North America,716,2023-05-08,4.0,17900,17184,Recruiting,Acquired,$154,2023,37.36883,-122.03635,154.0
192,656,Twist Bioscience,San Francisco Bay Area,USA,North America,270,2023-05-05,25.0,1080,810,Healthcare,Post-IPO,$503,2023,37.77493,-122.41942,503.0
193,657,Meesho,Bengaluru,India,Asia,251,2023-05-05,15.0,1673,1422,Retail,Series F,$1100,2023,12.97194,77.59369,1100.0
